frame,renderedFrame,stopwatchTicks,intervalSeconds,tick,simulationSeconds,paused,casting,areaCasts
1334,1334,523606279,0,0,0,True,False,0
1335,1335,523651985,0.0045706,0,0,True,False,0
1336,1336,523760489,0.0108504,0,0,True,False,0
1337,1337,523804924,0.0044435,0,0,True,False,0
1338,1338,523931294,0.012637,0,0,True,False,0
1339,1339,523976784,0.004549,0,0,True,False,0
1340,1340,524075936,0.0099152,0,0,True,False,0
1341,1341,524204212,0.0128276,0,0,True,False,0
1342,1342,524268448,0.0064236,0,0,True,False,0
1343,1343,524335032,0.0066584,0,0,True,False,0
1344,1344,524401864,0.0066832,0,0,True,False,0
1345,1345,524616535,0.0214671,0,0,True,False,0
1346,1346,524669996,0.0053461,0,0,True,False,0
1347,1347,524716285,0.0046289,0,0,True,False,0
1348,1348,524838370,0.0122085,0,0,True,False,0
1349,1349,524891983,0.0053613,0,0,True,False,0
1350,1350,524976602,0.0084619,0,0,True,False,0
1351,1351,525054022,0.007742,0,0,True,False,0
1352,1352,525133542,0.007952,0,0,True,False,0
1353,1353,525232826,0.0099284,0,0,True,False,0
1354,1354,525308275,0.0075449,0,0,True,False,0
1355,1355,525385820,0.0077545,0,0,True,False,0
1356,1356,525468192,0.0082372,0,0,True,False,0
1357,1357,525573232,0.010504,0,0,True,False,0
1358,1358,525620396,0.0047164,0,0,True,False,0
1359,1359,525721587,0.0101191,0,0,True,False,0
1360,1360,525796366,0.0074779,0,0,True,False,0
1361,1361,525902723,0.0106357,0,0,True,False,0
1362,1362,525975263,0.007254,0,0,True,False,0
1363,1363,526051789,0.0076526,0,0,True,False,0
1364,1364,526158700,0.0106911,0,0,True,False,0
1365,1365,526210664,0.0051964,0,0,True,False,0
1366,1366,526309892,0.0099228,0,0,True,False,0
1367,1367,526391154,0.0081262,0,0,True,False,0
1368,1368,526467039,0.0075885,0,0,True,False,0
1369,1369,526550530,0.0083491,0,0,True,False,0
1370,1370,526635858,0.0085328,0,0,True,False,0
1371,1371,526721891,0.0086033,0,0,True,False,0
1372,1372,526804848,0.0082957,0,0,True,False,0
1373,1373,526885619,0.0080771,0,0,True,False,0
1374,1374,526972132,0.0086513,0,0,True,False,0
1375,1375,527048075,0.0075943,0,0,True,False,0
1376,1376,527154433,0.0106358,0,0,True,False,0
1377,1377,527227148,0.0072715,0,0,True,False,0
1378,1378,527308201,0.0081053,0,0,True,False,0
1379,1379,527380227,0.0072026,0,0,True,False,0
1380,1380,527465919,0.0085692,0,0,True,False,0
1381,1381,527569348,0.0103429,0,0,True,False,0
1382,1382,527616996,0.0047648,0,0,True,False,0
1383,1383,527713803,0.0096807,0,0,True,False,0
1384,1384,527795573,0.008177,0,0,True,False,0
1385,1385,527904591,0.0109018,0,0,True,False,0
1386,1386,527960624,0.0056033,0,0,True,False,0
1387,1387,528081520,0.0120896,0,0,True,False,0
1388,1388,528130128,0.0048608,0,0,True,False,0
1389,1389,528244670,0.0114542,0,0,True,False,0
1390,1390,528289652,0.0044982,0,0,True,False,0
1391,1391,528399650,0.0109998,0,0,True,False,0
1392,1392,528475739,0.0076089,0,0,True,False,0
1393,1393,528561278,0.0085539,0,0,True,False,0
1394,1394,528641301,0.0080023,0,0,True,False,0
1395,1395,528724124,0.0082823,0,0,True,False,0
1396,1396,528796250,0.0072126,0,0,True,False,0
1397,1397,528878983,0.0082733,0,0,True,False,0
1398,1398,528982338,0.0103355,0,0,True,False,0
1399,1399,529058023,0.0075685,0,0,True,False,0
1400,1400,529128924,0.0070901,0,0,True,False,0
1401,1401,529232938,0.0104014,0,0,True,False,0
1402,1402,529307152,0.0074214,0,0,True,False,0
1403,1403,529386153,0.0079001,0,0,True,False,0
1404,1404,529471485,0.0085332,0,0,True,False,0
1405,1405,529548877,0.0077392,0,0,True,False,0
1406,1406,529631455,0.0082578,0,0,True,False,0
1407,1407,529733589,0.0102134,0,0,True,False,0
1408,1408,529788234,0.0054645,0,0,True,False,0
1409,1409,529891388,0.0103154,0,0,True,False,0
1410,1410,529976442,0.0085054,0,0,True,False,0
1411,1411,530053437,0.0076995,0,0,True,False,0
1412,1412,530131428,0.0077991,0,0,True,False,0
1413,1413,530238870,0.0107442,0,0,True,False,0
1414,1414,530292230,0.005336,0,0,True,False,0
1415,1415,530398706,0.0106476,0,0,True,False,0
1416,1416,530476074,0.0077368,0,0,True,False,0
1417,1417,530551876,0.0075802,0,0,True,False,0
1418,1418,530629382,0.0077506,0,0,True,False,0
1419,1419,530733248,0.0103866,0,0,True,False,0
1420,1420,530807030,0.0073782,0,0,True,False,0
1421,1421,530881956,0.0074926,0,0,True,False,0
1422,1422,530987042,0.0105086,0,0,True,False,0
1423,1423,531062763,0.0075721,0,0,True,False,0
1424,1424,531144632,0.0081869,0,0,True,False,0
1425,1425,531217706,0.0073074,0,0,True,False,0
1426,1426,531302570,0.0084864,0,0,True,False,0
1427,1427,531411704,0.0109134,0,0,True,False,0
1428,1428,531465347,0.0053643,0,0,True,False,0
1429,1429,531571954,0.0106607,0,0,True,False,0
1430,1430,531623453,0.0051499,0,0,True,False,0
1431,1431,531732541,0.0109088,0,0,True,False,0
1432,1432,531809752,0.0077211,0,0,True,False,0
1433,1433,531883728,0.0073976,0,0,True,False,0
1434,1434,531962106,0.0078378,0,0,True,False,0
1435,1435,532074787,0.0112681,0,0,True,False,0
1436,1436,532122900,0.0048113,0,0,True,False,0
1437,1437,532227042,0.0104142,0,0,True,False,0
1438,1438,532303281,0.0076239,0,0,True,False,0
1439,1439,532418158,0.0114877,0,0,True,False,0
1440,1440,532471970,0.0053812,0,0,True,False,0
1441,1441,532557966,0.0085996,0,0,True,False,0
1442,1442,532631480,0.0073514,0,0,True,False,0
1443,1443,532720213,0.0088733,0,0,True,False,0
1444,1444,532821108,0.0100895,0,0,True,False,0
1445,1445,532871242,0.0050134,0,0,True,False,0
1446,1446,532973427,0.0102185,0,0,True,False,0
1447,1447,533052893,0.0079466,0,0,True,False,0
1448,1448,533162297,0.0109404,0,0,True,False,0
1449,1449,533213195,0.0050898,0,0,True,False,0
1450,1450,533327085,0.011389,0,0,True,False,0
1451,1451,533374086,0.0047001,0,0,True,False,0
1452,1452,533492861,0.0118775,0,0,True,False,0
1453,1453,533540285,0.0047424,0,0,True,False,0
1454,1454,533647699,0.0107414,0,0,True,False,0
1455,1455,533720270,0.0072571,0,0,True,False,0
1456,1456,533800906,0.0080636,0,0,True,False,0
1457,1457,533908020,0.0107114,0,0,True,False,0
1458,1458,533964595,0.0056575,0,0,True,False,0
1459,1459,534071915,0.010732,0,0,True,False,0
1460,1460,534129986,0.0058071,0,0,True,False,0
1461,1461,534240188,0.0110202,0,0,True,False,0
1462,1462,534294539,0.0054351,0,0,True,False,0
1463,1463,534401215,0.0106676,0,0,True,False,0
1464,1464,534483017,0.0081802,0,0,True,False,0
1465,1465,534562029,0.0079012,0,0,True,False,0
1466,1466,534637618,0.0075589,0,0,True,False,0
1467,1467,534715951,0.0078333,0,0,True,False,0
1468,1468,534795601,0.007965,0,0,True,False,0
1469,1469,534901311,0.010571,0,0,True,False,0
1470,1470,534974996,0.0073685,0,0,True,False,0
1471,1471,535052227,0.0077231,0,0,True,False,0
1472,1472,535129429,0.0077202,0,0,True,False,0
1473,1473,535235622,0.0106193,0,0,True,False,0
1474,1474,535312400,0.0076778,0,0,True,False,0
1475,1475,535387418,0.0075018,0,0,True,False,0
1476,1476,535463389,0.0075971,0,0,True,False,0
1477,1477,535576208,0.0112819,0,0,True,False,0
1478,1478,535625125,0.0048917,0,0,True,False,0
1479,1479,535725661,0.0100536,0,0,True,False,0
1480,1480,535801384,0.0075723,0,0,True,False,0
1481,1481,535906412,0.0105028,0,0,True,False,0
1482,1482,535955068,0.0048656,0,0,True,False,0
1483,1483,536055561,0.0100493,0,0,True,False,0
1484,1484,536136638,0.0081077,0,0,True,False,0
1485,1485,536214270,0.0077632,0,0,True,False,0
1486,1486,536307687,0.0093417,0,0,True,False,0
1487,1487,536394364,0.0086677,0,0,True,False,0
1488,1488,536472880,0.0078516,0,0,True,False,0
1489,1489,536561734,0.0088854,0,0,True,False,0
1490,1490,536637782,0.0076048,0,0,True,False,0
1491,1491,536717728,0.0079946,0,0,True,False,0
1492,1492,536794965,0.0077237,0,0,True,False,0
1493,1493,536879677,0.0084712,0,0,True,False,0
1494,1494,536991697,0.011202,0,0,True,False,0
1495,1495,537044509,0.0052812,0,0,True,False,0
1496,1496,537129219,0.008471,0,0,True,False,0
1497,1497,537216650,0.0087431,0,0,True,False,0
1498,1498,537302729,0.0086079,0,0,True,False,0
1499,1499,537391448,0.0088719,0,0,True,False,0
